property_type,inspections_opendate,inspections_closeddate,date_num,violation
Detention,2019-08-03,2024-01-17,235,0
Detention,2024-05-10,2024-11-20,1242,1
Rooming House,2020-08-29,2024-05-09,468,1
Low Rise,2023-01-28,2024-07-13,1340,1
Hospital,2019-12-20,2024-05-19,1179,0
Group Home (VO),2022-02-23,2024-07-30,1558,0
Group Home,2023-08-27,2024-08-29,652,0
Hospital,2019-08-04,2024-02-07,1222,1
Residential Care,2022-09-02,2024-01-19,617,0
Rooming House,2021-06-06,2024-09-14,1410,0
Group Home (VO),2024-06-26,2024-10-29,1296,1
Detention,2021-01-11,2024-09-26,536,1
Residential Care,2023-02-27,2024-02-28,759,0
Residential Care,2022-09-23,2024-08-10,1441,1
Residential Care,2023-02-04,2024-09-29,1321,0
Detention,2024-06-14,2024-04-11,664,1
Nursing Home,2021-06-15,2024-06-15,1505,0
Rooming House,2020-04-18,2024-01-16,569,1
Hotel & Motel,2023-05-14,2024-10-30,1103,0
Rooming House,2019-12-06,2024-08-24,323,0
Residential Care,2024-05-27,2024-07-20,1307,1
Detention,2024-09-19,2024-06-04,907,1
Group Home,2024-07-22,2024-10-03,1041,1
High Rise,2024-02-04,2024-01-29,291,0
Hotel & Motel,2021-04-15,2024-01-03,1390,1
Group Home (VO),2020-03-05,2024-07-26,533,1
Rooming House,2019-10-06,2024-04-30,230,0
Hotel & Motel,2021-04-01,2024-03-11,927,0
Residential Care,2020-11-23,2024-05-23,1207,0
Residential Care,2023-05-25,2024-01-03,1130,0
Rooming House,2024-05-10,2024-04-14,401,1
Hotel & Motel,2021-08-28,2024-07-18,537,0
Group Home (VO),2023-12-16,2024-05-23,1315,0
Hotel & Motel,2021-01-14,2024-11-07,15,0
Group Home (VO),2022-10-27,2024-08-27,1166,1
Hospital,2023-11-08,2024-03-03,746,1
Residential Care,2023-05-24,2024-11-21,1375,0
Low Rise,2023-12-15,2024-03-11,1618,0
Group Home (VO),2020-09-16,2024-01-22,1322,0
Nursing Home,2022-09-11,2024-04-01,1438,0
Low Rise,2020-03-26,2024-10-28,154,0
High Rise,2023-04-18,2024-09-09,1209,1
Residential Care,2021-12-27,2024-08-13,858,1
Residential Care,2023-02-11,2024-04-03,85,1
Hospital,2022-11-04,2024-06-13,1087,0
Group Home (VO),2020-10-05,2024-07-04,918,0
Residential Care,2021-09-11,2024-06-25,818,1
Rooming House,2019-09-14,2024-04-12,182,0
Group Home,2021-11-25,2024-01-21,1644,0
Hospital,2022-10-06,2024-08-26,1159,0
Nursing Home,2023-11-22,2024-05-17,1084,0
Hospital,2021-12-21,2024-09-13,1095,0
Hospital,2023-09-25,2024-05-27,1076,1
Hotel & Motel,2020-01-26,2024-07-03,990,1
High Rise,2021-02-03,2024-09-20,521,1
Hospital,2023-07-16,2024-01-27,1655,1
Low Rise,2019-09-21,2024-05-23,536,0
High Rise,2023-02-17,2024-08-13,448,1
Low Rise,2024-01-10,2024-10-01,1312,0
Group Home,2019-08-18,2024-04-02,638,0
Group Home (VO),2024-07-28,2024-08-30,92,1
Hospital,2023-07-06,2024-07-10,196,0
Detention,2022-12-27,2024-04-19,844,1
Residential Care,2020-11-18,2024-01-17,429,1
Group Home,2022-06-17,2024-06-14,276,0
Hospital,2021-09-06,2024-11-15,1007,0
Residential Care,2024-02-05,2024-10-13,659,1
Residential Care,2023-05-27,2024-04-17,315,0
Hotel & Motel,2020-02-08,2024-09-17,1459,1
Detention,2024-08-12,2024-06-06,457,1
Nursing Home,2023-02-08,2024-08-24,1452,1
Residential Care,2022-12-15,2024-04-30,511,1
Detention,2020-01-13,2024-11-22,230,0
Hotel & Motel,2024-10-12,2024-03-04,1377,1
Detention,2023-05-13,2024-08-06,689,0
Hotel & Motel,2024-10-26,2024-11-15,521,0
Hospital,2024-03-14,2024-10-29,1266,1
Rooming House,2019-10-11,2024-10-19,419,0
Group Home (VO),2021-07-21,2024-09-30,813,0
Group Home (VO),2023-07-21,2024-04-08,76,1
Nursing Home,2020-08-04,2024-10-11,1115,0
Detention,2021-03-31,2024-04-03,1259,0
Rooming House,2024-05-15,2024-11-11,118,1
Low Rise,2023-12-09,2024-05-19,308,0
Rooming House,2023-09-02,2024-02-26,300,1
Low Rise,2023-04-26,2024-05-30,434,1
Rooming House,2024-07-28,2024-01-28,584,0
Hospital,2019-09-14,2024-09-23,1245,1
Group Home,2023-06-15,2024-01-06,1219,0
High Rise,2019-08-17,2024-11-25,829,0
Hospital,2024-04-13,2024-06-29,1430,0
Detention,2019-08-29,2024-07-17,1211,1
Nursing Home,2024-11-16,2024-07-16,903,0
Detention,2020-03-09,2024-06-01,1261,1
Nursing Home,2021-03-25,2024-04-02,909,0
High Rise,2021-09-27,2024-06-17,210,0
Hotel & Motel,2019-08-18,2024-06-04,1537,0
Hotel & Motel,2022-04-04,2024-02-16,515,0
Hotel & Motel,2022-08-14,2024-07-09,402,0
Rooming House,2024-09-27,2024-11-18,413,1
Hospital,2022-07-31,2024-09-22,1358,1
Hotel & Motel,2023-12-28,2024-07-10,888,1
Rooming House,2021-08-26,2024-11-03,704,1
Group Home (VO),2024-09-23,2024-01-18,1363,0
Hospital,2022-02-19,2024-03-26,1081,0
Nursing Home,2020-02-02,2024-04-18,673,1
Group Home (VO),2023-09-06,2024-08-13,608,1
Hotel & Motel,2022-11-16,2024-08-09,1438,1
Group Home,2020-11-18,2024-06-29,669,0
Detention,2024-10-18,2024-02-23,424,1
Residential Care,2023-08-06,2024-04-19,1176,1
Hotel & Motel,2024-10-27,2024-02-17,1522,1
Hospital,2024-11-03,2024-01-02,1412,1
Rooming House,2024-01-01,2024-07-02,429,1
Residential Care,2024-08-09,2024-01-12,194,1
Hotel & Motel,2021-08-21,2024-02-08,890,1
Low Rise,2020-01-20,2024-08-02,293,1
Detention,2021-12-12,2024-04-19,404,0
Nursing Home,2021-12-13,2024-02-01,1389,1
Group Home,2021-10-05,2024-04-03,1156,0
Hotel & Motel,2022-08-27,2024-10-28,1079,1
Group Home,2023-07-19,2024-04-25,1172,1
High Rise,2024-06-22,2024-03-22,379,0
Nursing Home,2020-06-16,2024-01-24,300,0
Group Home,2023-01-24,2024-06-07,408,1
Residential Care,2019-12-18,2024-02-18,707,1
Nursing Home,2019-08-20,2024-07-27,1148,0
Hospital,2020-06-13,2024-03-09,407,0
Group Home,2020-01-03,2024-04-29,1082,0
Nursing Home,2022-10-13,2024-01-18,1445,1
Detention,2024-05-18,2024-09-23,1237,0
Group Home,2023-11-10,2024-09-30,834,1
Group Home,2019-11-25,2024-10-12,1623,1
Hospital,2022-09-07,2024-09-08,936,1
High Rise,2023-04-18,2024-09-14,9,0
Rooming House,2022-10-10,2024-06-28,724,0
Group Home,2021-11-16,2024-04-14,953,0
Residential Care,2021-09-25,2024-07-24,80,0
Hotel & Motel,2024-05-03,2024-11-06,1497,1
Nursing Home,2020-09-27,2024-10-23,865,1
Group Home (VO),2022-03-23,2024-01-28,855,0
Low Rise,2020-05-11,2024-09-29,292,0
Hospital,2023-11-08,2024-09-08,899,0
Residential Care,2022-12-18,2024-11-17,726,1
Nursing Home,2022-07-02,2024-07-18,77,0
Rooming House,2019-11-19,2024-09-30,1061,1
Group Home,2024-10-04,2024-02-10,438,0
Group Home (VO),2021-04-05,2024-07-29,296,1
Hotel & Motel,2020-11-28,2024-10-04,392,1
High Rise,2024-04-26,2024-09-08,1567,1
Nursing Home,2022-05-22,2024-10-01,90,1
Nursing Home,2022-12-16,2024-05-16,1302,1
Rooming House,2021-10-28,2024-05-17,1146,1
Residential Care,2024-09-13,2024-09-01,773,1
Nursing Home,2021-01-26,2024-01-20,989,1
Low Rise,2024-09-05,2024-02-22,30,1
Group Home (VO),2019-08-18,2024-11-02,921,0
Residential Care,2023-10-15,2024-08-16,1647,1
Hotel & Motel,2019-09-28,2024-04-18,1072,1
Hotel & Motel,2020-05-19,2024-05-17,579,0
Rooming House,2024-09-09,2024-07-06,571,1
Rooming House,2019-12-26,2024-01-27,238,1
Nursing Home,2019-12-20,2024-03-11,121,1
Hospital,2020-11-16,2024-10-02,759,1
Hotel & Motel,2021-01-05,2024-03-23,732,1
Rooming House,2021-04-03,2024-04-21,533,1
High Rise,2022-11-11,2024-01-03,1527,0
Residential Care,2022-07-05,2024-07-09,1647,1
Detention,2020-12-20,2024-06-12,455,1
Rooming House,2021-08-24,2024-02-26,1324,1
Group Home (VO),2021-04-18,2024-03-16,1565,0
Hospital,2021-01-15,2024-11-08,1006,1
Residential Care,2020-01-20,2024-02-03,616,0
Group Home,2020-03-22,2024-01-22,694,1
Rooming House,2024-01-18,2024-09-06,48,1
Hotel & Motel,2020-09-04,2024-10-03,246,0
Residential Care,2021-01-09,2024-05-17,1623,1
Hotel & Motel,2024-02-15,2024-04-28,1418,0
Rooming House,2023-04-21,2024-11-10,498,1
Group Home,2022-01-28,2024-04-21,757,1
Nursing Home,2024-01-12,2024-07-31,1290,0
Residential Care,2020-11-30,2024-11-13,1197,0
Residential Care,2020-04-21,2024-08-24,1045,0
Residential Care,2023-05-19,2024-06-02,56,0
Group Home (VO),2024-01-09,2024-01-06,174,0
Hotel & Motel,2023-02-24,2024-04-07,227,1
Hospital,2019-12-08,2024-02-20,1569,0
High Rise,2020-02-17,2024-02-11,931,1
Rooming House,2020-12-06,2024-08-23,717,0
Rooming House,2022-07-05,2024-09-20,976,1
High Rise,2019-11-15,2024-09-25,874,1
Rooming House,2019-12-11,2024-11-04,414,1
High Rise,2022-09-15,2024-03-21,424,1
Rooming House,2022-06-07,2024-06-08,729,1
Group Home (VO),2022-08-20,2024-08-15,393,0
Hotel & Motel,2024-05-09,2024-07-19,1290,1
Group Home (VO),2021-09-07,2024-01-24,1617,1
Rooming House,2023-11-26,2024-01-10,1542,0
Residential Care,2022-08-02,2024-09-06,839,0
Group Home,2023-08-07,2024-05-16,859,0
Hospital,2024-02-16,2024-03-21,729,1
Low Rise,2020-11-13,2024-07-16,852,1
High Rise,2022-03-25,2024-07-15,1629,1
Group Home (VO),2019-10-09,2024-05-05,1616,1
Residential Care,2024-01-05,2024-10-07,1536,1
Group Home,2022-11-14,2024-04-15,365,1
Detention,2022-02-22,2024-03-24,918,0
Residential Care,2020-03-02,2024-03-20,973,0
High Rise,2023-03-25,2024-11-13,151,1
Low Rise,2024-11-08,2024-09-15,211,0
Group Home,2023-04-17,2024-09-09,1615,1
Rooming House,2020-10-14,2024-02-16,1321,1
High Rise,2024-07-17,2024-11-22,1200,1
Group Home (VO),2023-08-23,2024-10-08,942,0
Group Home (VO),2022-01-03,2024-06-14,1068,1
Residential Care,2022-07-27,2024-07-11,215,0
Nursing Home,2021-09-19,2024-08-06,640,0
Hotel & Motel,2024-08-13,2024-10-16,883,0
Residential Care,2020-07-27,2024-02-26,1382,1
Group Home (VO),2021-05-14,2024-10-14,343,1
Low Rise,2022-07-30,2024-01-13,298,1
