address_name,enforcement_proceedings,property_type,inspections_opendate,inspections_closeddate,violations_item_number,date_num,violation
Kingston,Yes,Hotel & Motel,2021-08-10,2024-05-31,1,1025,1
Kingston,Yes,Hotel & Motel,2021-08-10,2024-05-31,10,1025,1
Huntington,Yes,Rooming House,2021-08-06,2024-02-21,7,929,1
Huntington,Yes,Rooming House,2021-08-06,2024-02-21,8,929,1
Huntington,Yes,Rooming House,2021-08-06,2024-02-21,9,929,1
Fairglen,No,Rooming House,2021-12-07,2024-08-23,1,990,1
Fairglen,No,Rooming House,2021-12-07,2024-08-23,2,990,1
Arlington,Yes,Low Rise,2021-09-22,2024-02-22,1,883,1
Arlington,Yes,Low Rise,2021-09-22,2024-02-22,2,883,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,3,682,1
Michael Power,No,High Rise,2022-10-27,2024-04-26,1,547,1
Michael Power,No,High Rise,2022-10-27,2024-04-26,6,547,1
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,5,811,1
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,8,811,1
Denison,Yes,Low Rise,2021-08-24,2024-02-21,1,911,1
Denison,Yes,Low Rise,2021-08-24,2024-02-21,4,911,1
Jarvis,No,Rooming House,2021-08-30,2024-06-11,2,1016,1
Southport,No,High Rise,2021-10-29,2024-02-14,4,838,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,9,941,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,15,941,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,17,941,1
Michael Power,No,High Rise,2022-10-28,2024-04-26,5,546,1
Sherway Gardens,No,High Rise,2022-11-16,2024-05-23,5,554,1
Eglinton,Yes,High Rise,2021-11-09,2024-09-12,6,1038,1
Eglinton,Yes,High Rise,2021-11-09,2024-09-12,9,1038,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,9,785,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,10,785,1
Carlton,No,Rooming House,2021-09-02,2024-04-10,9,951,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,3,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,16,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,17,758,1
Heath,No,High Rise,2022-03-02,2024-04-26,1,786,1
Heath,No,High Rise,2022-03-02,2024-04-26,2,786,1
Heath,No,High Rise,2022-03-02,2024-04-26,3,786,1
Heath,No,High Rise,2022-03-02,2024-04-26,4,786,1
Heath,No,High Rise,2022-03-02,2024-04-26,7,786,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,2,629,1
Ridelle,No,High Rise,2022-05-04,2024-04-23,3,720,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,2,682,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,6,682,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,12,682,1
King,No,High Rise,2021-12-09,2024-01-11,7,763,1
Yorkville,No,High Rise,2022-08-12,2024-01-29,3,535,1
Yorkville,No,High Rise,2022-08-12,2024-01-29,8,535,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,3,629,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,5,629,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,13,682,1
Southport,No,High Rise,2021-10-29,2024-02-14,3,838,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,6,941,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,10,941,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,12,941,1
Michael Power,No,High Rise,2022-10-27,2024-04-26,2,547,1
Michael Power,No,High Rise,2022-10-27,2024-04-26,4,547,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,12,629,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,15,629,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,16,629,1
Ridelle,No,High Rise,2022-05-04,2024-04-23,4,720,1
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,12,811,1
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,13,811,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,8,682,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,10,682,1
Thorncliffe Park,No,High Rise,2022-03-03,2024-04-16,0,775,0
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,9,811,1
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,11,811,1
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,14,811,1
Victoria Park,Yes,Rooming House,2022-04-21,2024-02-05,11,655,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,3,785,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,5,785,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,6,785,1
Goldwin,No,High Rise,2022-04-21,2024-02-15,7,665,1
Coin,No,High Rise,2022-05-18,2024-03-12,4,664,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,11,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,15,758,1
Fairglen,No,Rooming House,2021-12-07,2024-08-23,4,990,1
Fairglen,No,Rooming House,2021-12-07,2024-08-23,6,990,1
King,No,High Rise,2021-12-09,2024-01-11,10,763,1
Fairview Mall,No,High Rise,2021-12-14,2024-05-16,1,884,1
Fairview Mall,No,High Rise,2021-12-14,2024-05-16,5,884,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,5,941,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,8,941,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,11,941,1
Danforth,Yes,Low Rise,2021-11-02,2024-05-31,18,941,1
College,No,High Rise,2022-11-08,2024-01-26,3,444,1
College,No,High Rise,2022-11-08,2024-01-26,4,444,1
College,No,High Rise,2022-11-08,2024-01-26,5,444,1
Danforth,No,Low Rise,2022-03-30,2024-01-10,1,651,1
Mutual,No,High Rise,2022-05-26,2024-01-09,9,593,1
Eglinton,Yes,High Rise,2021-11-09,2024-09-12,5,1038,1
Yorkville,No,High Rise,2022-08-12,2024-01-29,1,535,1
Kennedy,No,Low Rise,2022-01-27,2024-01-09,2,712,1
Michael Power,No,High Rise,2022-10-27,2024-04-26,3,547,1
Lake Shore,No,High Rise,2022-11-02,2024-02-16,1,471,1
Yonge,No,High Rise,2022-11-15,2024-09-25,3,680,1
Yonge,No,High Rise,2022-11-15,2024-09-25,6,680,1
Yonge,No,High Rise,2022-11-15,2024-09-25,10,680,1
Yonge,No,High Rise,2022-11-15,2024-09-25,17,680,1
Hollywood,No,High Rise,2022-12-06,2024-03-25,2,475,1
Hollywood,No,High Rise,2022-12-06,2024-03-25,7,475,1
Fairglen,No,Rooming House,2021-12-07,2024-08-23,5,990,1
Lake Shore,No,High Rise,2022-11-02,2024-02-16,6,471,1
Lake Shore,No,High Rise,2022-11-02,2024-02-16,10,471,1
Michael Power,No,High Rise,2022-10-28,2024-04-26,1,546,1
Michael Power,No,High Rise,2022-10-28,2024-04-26,3,546,1
Shaw,No,High Rise,2022-06-20,2024-02-20,8,610,1
King,No,High Rise,2021-12-09,2024-01-11,1,763,1
King,No,High Rise,2021-12-09,2024-01-11,2,763,1
King,No,High Rise,2021-12-09,2024-01-11,14,763,1
Richmond,No,High Rise,2022-06-20,2024-01-11,4,570,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,7,629,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,7,785,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,8,785,1
Goldwin,No,High Rise,2022-04-21,2024-02-15,3,665,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,13,629,1
Ridelle,No,High Rise,2022-05-04,2024-04-23,2,720,1
Goldwin,No,High Rise,2022-04-21,2024-02-15,5,665,1
Goldwin,No,High Rise,2022-04-21,2024-02-15,10,665,1
Coin,No,High Rise,2022-05-18,2024-03-12,2,664,1
Beverley,Yes,Low Rise,2022-01-24,2024-01-30,9,736,1
Victoria Park,Yes,Rooming House,2022-04-21,2024-02-05,1,655,1
Victoria Park,Yes,Rooming House,2022-04-21,2024-02-05,4,655,1
Victoria Park,Yes,Rooming House,2022-04-21,2024-02-05,6,655,1
Goldwin,No,High Rise,2022-04-21,2024-02-15,2,665,1
Goldwin,No,High Rise,2022-04-21,2024-02-15,9,665,1
Goldwin,No,High Rise,2022-04-21,2024-02-15,13,665,1
Coxwell,No,Low Rise,2022-04-25,2024-01-04,0,619,0
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,1,811,1
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,6,811,1
Queen,No,High Rise,2022-08-03,2024-02-07,2,553,1
Queen,No,High Rise,2022-08-03,2024-02-07,3,553,1
Coin,No,High Rise,2022-05-18,2024-03-12,5,664,1
Massey,No,High Rise,2022-01-19,2024-01-11,0,722,0
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,6,629,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,9,629,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,11,629,1
Mutual,No,High Rise,2022-05-26,2024-01-09,2,593,1
Mutual,No,High Rise,2022-05-26,2024-01-09,4,593,1
Mutual,No,High Rise,2022-05-26,2024-01-09,1,593,1
Mutual,No,High Rise,2022-05-26,2024-01-09,11,593,1
Michael Power,No,High Rise,2022-10-27,2024-04-26,5,547,1
Lake Shore,No,High Rise,2022-11-02,2024-02-16,8,471,1
Michael Power,No,High Rise,2022-10-28,2024-04-26,6,546,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,15,682,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,10,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,12,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,13,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,14,758,1
Danforth,Yes,Low Rise,2022-03-11,2024-05-30,2,811,1
Overland,No,Low Rise,2022-03-30,2024-03-25,1,726,1
King,No,High Rise,2022-11-08,2024-02-06,3,455,1
Yorkville,No,High Rise,2022-08-12,2024-01-29,2,535,1
Yorkville,No,High Rise,2022-08-12,2024-01-29,4,535,1
Yorkville,No,High Rise,2022-08-12,2024-01-29,10,535,1
Kennedy,No,Low Rise,2022-01-27,2024-01-09,3,712,1
Michael Power,No,High Rise,2022-10-27,2024-04-26,7,547,1
Michael Power,No,High Rise,2022-10-27,2024-04-26,8,547,1
Michael Power,No,High Rise,2022-10-28,2024-04-26,4,546,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,1,785,1
College,No,High Rise,2022-11-08,2024-01-26,1,444,1
Lake Shore,No,High Rise,2022-12-29,2024-01-31,2,398,1
Lake Shore,No,High Rise,2022-12-29,2024-01-31,7,398,1
Hollywood,No,High Rise,2022-12-06,2024-03-25,9,475,1
Sherway Gardens,No,High Rise,2022-11-16,2024-05-23,2,554,1
Hollywood,No,High Rise,2022-12-06,2024-03-25,11,475,1
Hollywood,No,High Rise,2022-12-06,2024-03-25,17,475,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,4,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,8,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,9,758,1
Westmount,Yes,Low Rise,2022-04-04,2024-05-01,20,758,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,2,785,1
Bloor,Yes,Low Rise,2022-02-08,2024-04-03,4,785,1
Heath,No,High Rise,2022-03-02,2024-04-26,6,786,1
Shaw,No,High Rise,2022-06-20,2024-02-20,4,610,1
Shaw,No,High Rise,2022-06-20,2024-02-20,6,610,1
Richmond,No,High Rise,2022-06-20,2024-01-11,3,570,1
Richmond,No,High Rise,2022-06-20,2024-01-11,6,570,1
Richmond,No,High Rise,2022-06-20,2024-01-11,7,570,1
Dundas,Yes,High Rise,2022-02-14,2024-09-18,1,947,1
Sheppard,No,High Rise,2022-06-28,2024-01-11,0,562,0
Canterbury,No,High Rise,2023-01-11,2024-10-25,5,653,1
Canterbury,No,High Rise,2023-01-11,2024-10-25,11,653,1
Spring Garden,No,High Rise,2022-12-16,2024-03-25,2,465,1
Spring Garden,No,High Rise,2022-12-16,2024-03-25,4,465,1
Spring Garden,No,High Rise,2022-12-16,2024-03-25,5,465,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,1,629,1
Shallmar,Yes,High Rise,2022-07-20,2024-04-09,14,629,1
Ridelle,No,High Rise,2022-05-04,2024-04-23,1,720,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,1,682,1
Blackthorn,No,High Rise,2022-04-22,2024-03-04,4,682,1
